Kraft2-P100,Kraft2-WK1-P29,Kraft2-WK2-P19,Kraft2-WK3-P4,Kraft2-WK14-P3,Kraft2-WK15-P17,Kraft2-WK16-P28
24160.404,7006.517159999999,4590.47676,966.41616,724.8121199999999,4107.26868,6764.91312
1237.894,358.98926,235.19986,49.51576,37.13682,210.44198000000003,346.61032000000006
27070.615,7850.47835,5143.4168500000005,1082.8246000000001,812.11845,4602.004550000001,7579.772200000001
3577.536,1037.48544,679.73184,143.10144,107.32608,608.1811200000001,1001.7100800000001
34025.835,9867.492149999998,6464.90865,1361.0334,1020.77505,5784.39195,9527.2338
9128.151,2647.1637899999996,1734.34869,365.12604,273.84452999999996,1551.78567,2555.8822800000003
17942.406,5203.297739999999,3409.05714,717.69624,538.2721799999999,3050.2090200000002,5023.873680000001
9737.63,2823.9126999999994,1850.1497,389.5052,292.1289,1655.3971,2726.5364
23465.316,6804.941639999999,4458.41004,938.6126399999999,703.95948,3989.10372,6570.28848
6453.723,1871.5796699999999,1226.20737,258.14892,193.61168999999998,1097.13291,1807.0424400000002
20181.213,5852.551769999999,3834.43047,807.24852,605.43639,3430.80621,5650.739640000001
6054.605,1755.8354499999998,1150.37495,242.18419999999998,181.63814999999997,1029.28285,1695.2894000000001
23883.711,6926.27619,4537.90509,955.34844,716.5113299999999,4060.2308700000003,6687.43908
3498.743,1014.6354699999999,664.76117,139.94972,104.96229,594.7863100000001,979.64804
25773.79,7474.3991,4897.020100000001,1030.9516,773.2137,4381.5443000000005,7216.661200000001
8875.376,2573.85904,1686.3214400000002,355.01504,266.26128,1508.81392,2485.10528
16033.915,4649.83535,3046.44385,641.3566000000001,481.01745,2725.7655500000005,4489.4962000000005
7017.782,2035.1567799999998,1333.37858,280.71128,210.53346,1193.02294,1964.9789600000001
22457.799,6512.761709999999,4266.98181,898.31196,673.73397,3817.82583,6288.18372
1780.489,516.34181,338.29291,71.21956,53.41467,302.68313,498.53692000000007
27539.219,7986.373509999999,5232.45161,1101.56876,826.17657,4681.667230000001,7710.981320000001
2812.508,815.6273199999999,534.3765199999999,112.50031999999999,84.37523999999999,478.12636,787.50224
17170.593,4979.47197,3262.41267,686.8237200000001,515.11779,2919.0008100000005,4807.76604
1380.759,400.42010999999997,262.34421000000003,55.230360000000005,41.42277,234.72903000000002,386.61252
20848.923,6046.187669999999,3961.29537,833.95692,625.46769,3544.31691,5837.69844
2020.111,585.83219,383.82109,80.80444,60.60333,343.41887,565.6310800000001
19473.854,5647.417659999999,3700.03226,778.95416,584.21562,3310.5551800000003,5452.679120000001
6025.118,1747.28422,1144.77242,241.00472000000002,180.75354000000002,1024.27006,1687.0330400000003
29629.361,8592.51469,5629.57859,1185.17444,888.88083,5036.991370000001,8296.221080000001
5806.881,1683.99549,1103.3073900000002,232.27524000000003,174.20643,987.1697700000001,1625.9266800000003
24484.394,7100.47426,4652.03486,979.37576,734.5318199999999,4162.34698,6855.630320000001
4307.919,1249.29651,818.50461,172.31676,129.23757,732.34623,1206.21732
20684.351,5998.461789999999,3930.0266899999997,827.3740399999999,620.5305299999999,3516.33967,5791.618280000001
5894.168,1709.3087199999998,1119.89192,235.76672,176.82503999999997,1002.00856,1650.36704
20382.795,5911.010549999999,3872.73105,815.3118,611.48385,3465.07515,5707.1826
6783.165,1967.1178499999999,1288.80135,271.3266,203.49495,1153.13805,1899.2862000000002
28079.329,8143.00541,5335.07251,1123.17316,842.37987,4773.485930000001,7862.212120000001
5589.361,1620.9146899999998,1061.97859,223.57444,167.68083,950.19137,1565.0210800000002
26477.158,7678.375819999999,5030.66002,1059.08632,794.3147399999999,4501.11686,7413.604240000001
8047.669,2333.82401,1529.05711,321.90676,241.43007,1368.10373,2253.3473200000003
25555.174,7411.000459999999,4855.48306,1022.20696,766.65522,4344.37958,7155.44872
12682.03,3677.7887,2409.5857,507.2812,380.4609,2155.9451000000004,3550.9684000000007
13855.601,4018.1242899999997,2632.56419,554.2240400000001,415.66803,2355.4521700000005,3879.5682800000004
2880.886,835.4569399999999,547.36834,115.23544,86.42658,489.75062,806.64808
13170.699,3819.5027099999998,2502.4328100000002,526.8279600000001,395.12097,2239.0188300000004,3687.7957200000005
13180.224,3822.26496,2504.24256,527.20896,395.40672,2240.63808,3690.4627200000004
29852.836,8657.32244,5672.03884,1194.11344,895.58508,5074.982120000001,8358.794080000001
15429.255,4474.48395,2931.55845,617.1702,462.87764999999996,2622.97335,4320.191400000001
11411.057,3309.20653,2168.1008300000003,456.44228000000004,342.33171,1939.8796900000002,3195.0959600000006
13118.255,3804.2939499999993,2492.46845,524.7302,393.54765,2230.10335,3673.1114000000002
24085.702,6984.85358,4576.28338,963.42808,722.57106,4094.5693400000005,6743.996560000001
14070.091,4080.3263899999997,2673.31729,562.80364,422.10273,2391.9154700000004,3939.6254800000006
17697.597,5132.30313,3362.54343,707.9038800000001,530.92791,3008.5914900000007,4955.327160000001
6168.124,1788.7559599999997,1171.94356,246.72496,185.04371999999998,1048.58108,1727.07472
21199.031,6147.718989999999,4027.81589,847.96124,635.97093,3603.83527,5935.72868
7632.294,2213.36526,1450.13586,305.29176,228.96882,1297.48998,2137.04232
22413.879,6500.02491,4258.63701,896.55516,672.41637,3810.3594300000004,6275.886120000001
5025.398,1457.3654199999999,954.8256200000001,201.01592000000002,150.76194,854.31766,1407.1114400000001
27194.362,7886.364979999999,5166.92878,1087.77448,815.83086,4623.04154,7614.421360000001
2335.975,677.4327499999999,443.83525,93.439,70.07924999999999,397.11575,654.0730000000001
17205.054,4989.46566,3268.96026,688.20216,516.15162,2924.8591800000004,4817.415120000001
16380.076,4750.22204,3112.2144399999997,655.20304,491.40227999999996,2784.61292,4586.4212800000005
12376.474,3589.17746,2351.53006,495.05896,371.29422,2104.0005800000004,3465.4127200000003
9605.014,2785.4540599999996,1824.95266,384.20056,288.15041999999994,1632.85238,2689.40392
18267.887,5297.6872299999995,3470.89853,730.71548,548.03661,3105.54079,5115.00836
15196.816,4407.07664,2887.3950400000003,607.87264,455.90448,2583.45872,4255.108480000001
25434.394,7375.97426,4832.53486,1017.37576,763.0318199999999,4323.84698,7121.630320000001
11585.653,3359.8393699999997,2201.27407,463.42612,347.56959,1969.5610100000001,3243.9828400000006
21900.474,6351.137459999999,4161.0900599999995,876.01896,657.0142199999999,3723.08058,6132.1327200000005
21514.519,6239.21051,4087.7586100000003,860.58076,645.43557,3657.4682300000004,6024.065320000001
22736.147,6593.4826299999995,4319.86793,909.4458800000001,682.08441,3865.1449900000002,6366.121160000001
12683.257,3678.1445299999996,2409.81883,507.33028,380.49771,2156.15369,3551.3119600000005
20082.618,5823.959219999999,3815.69742,803.30472,602.47854,3414.04506,5623.13304
8086.879,2345.1949099999997,1536.50701,323.47516,242.60637,1374.76943,2264.32612
7444.033,2158.76957,1414.36627,297.76132,223.32099,1265.4856100000002,2084.3292400000005
14444.005,4188.761449999999,2744.36095,577.7601999999999,433.32014999999996,2455.48085,4044.3214000000003
18481.856,5359.73824,3511.55264,739.27424,554.4556799999999,3141.91552,5174.919680000001
8407.395,2438.14455,1597.40505,336.29580000000004,252.22185000000002,1429.2571500000001,2354.0706000000005
10213.801,2962.0022899999994,1940.6221899999998,408.55204,306.41402999999997,1736.34617,2859.8642800000002
5938.594,1722.1922599999998,1128.33286,237.54376000000002,178.15782,1009.5609800000001,1662.8063200000001
25709.284,7455.692359999999,4884.76396,1028.37136,771.27852,4370.578280000001,7198.599520000001
16943.476,4913.608039999999,3219.26044,677.7390399999999,508.30427999999995,2880.39092,4744.17328
13395.881,3884.8054899999997,2545.21739,535.83524,401.87642999999997,2277.29977,3750.84668
11359.637,3294.29473,2158.3310300000003,454.38548000000003,340.78911,1931.1382900000003,3180.6983600000003
10721.007,3109.09203,2036.99133,428.84028,321.63021,1822.5711900000001,3001.88196
