,Fy,Fz,Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ,R,Angle_rad,Angle_deg,Pressure Hoist_R3,Pressure Hoist_R17,Pressure Hoist_R28,Pressure Hoist_R29,Pressure Hoist_R19,Pressure Hoist_R4
0,27602.667320408,186.572462553036,59.328,555.0,555.0,225.714285714286,900.0,-1533.33333333333,29500.0,3500.0,-13000.0,7000.0,27603.29785523648,0.0067591156735312356,0.3872688013340646,4.881334871774722,27.660897606723427,45.55912546989741,47.186237093822314,30.91512085457324,6.508446495699629
1,1909.94395509468,1.6808329959733,60755.328,5.0,5.0,6.66666666666667,483.333333333333,283.333333333333,24250.0,4550.0,500.0,-1500.0,1909.9446946972755,0.0008800428711891995,0.05042274230971628,0.33775238343915137,1.9139301728218576,3.152355578765413,3.264939706578463,2.1390984284479586,0.4503365112522018
2,23605.2155145493,186.572462553036,60915.168,555.0,555.0,226.0,1000.0,-1790.0,30500.0,3250.0,-13000.0,4000.0,23605.95282491478,0.007903701512689862,0.45284873920829355,4.17444905713924,23.655211323789025,38.961524533299574,40.35300755234598,26.438177361881852,5.5659320761856526
3,3212.84332143588,1.6808329959733,73491.984,5.0,5.0,5.0,400.0,300.0,24000.0,4937.5,500.0,-2500.0,3212.8437611086383,0.0005231605386458166,0.02997489087219609,0.5681555287673105,3.219547996348093,5.302784935161565,5.492170111417334,3.598318348859633,0.7575407050230807
4,23755.6144871024,186.572462553036,73520.064,555.0,552.5,220.0,1000.0,-1750.0,30000.0,3375.0,-13000.0,4000.0,23756.3471296328,0.00785366451816443,0.44998183060246705,4.201044609887554,23.805919456029475,39.20974969228384,40.610097895579685,26.606615862621176,5.601392813183406
5,1555.59712762155,1.6808329959733,76066.56,5.0,12.5,5.0,500.0,235.714285714286,25000.0,4500.0,500.0,-1142.85714285714,1555.5980356968755,0.0010805062004855736,0.06190844502553975,0.2750901351691538,1.5588440992918717,2.567507928245436,2.6592046399684865,1.7422375227379743,0.3667868468922051
6,27315.7371844175,186.572462553036,76094.208,555.0,545.0,215.0,825.0,-1500.0,29500.0,3500.0,-13000.0,6500.0,27316.37434236015,0.006830112621722856,0.39133662682375336,4.830595653718947,27.37337537107404,45.085559434710184,46.695757985949825,30.593772473553337,6.440794204958598
7,1499.07846271282,1.6808329959733,85554.72,5.0,15.0,10.0,575.0,-800.0,25125.0,4250.0,0.0,-1000.0,1499.0794050246277,0.0011212437063217223,0.06424253217784064,0.26509544669923746,1.5022075312956789,2.4742241691928832,2.5625893180926282,1.6789378290951704,0.35346059559898324
8,27472.4824585305,185.732046055049,86040.0,552.5,545.0,196.785714285714,800.0,-1500.0,29000.0,3500.0,-12500.0,6500.0,27473.110286736697,0.00676055455465308,0.3873512431495673,4.858312654598993,27.530438376060967,45.34425144292395,46.963688994456945,30.769313479126964,6.477750206131993
9,1114.42340785245,1.6808329959733,93661.488,5.0,20.0,10.0,654.545454545455,-850.0,25500.0,4250.0,0.0,-636.363636363636,1114.4246754128467,0.001508252347892111,0.08641649397491513,0.1970735547103109,1.1167501433584286,1.8393531772962353,1.905044362199672,1.2481325131653025,0.26276473961374786
10,26758.513371251,183.210796561089,96027.264,545.0,542.5,215.625,800.0,-1500.0,29000.0,3555.55555555556,-13000.0,6500.0,26759.140569820156,0.006846715704566498,0.39228791339760016,4.732055085852921,26.814978819833225,44.16584746796061,45.74319916324491,29.969682210401835,6.30940678113723
11,440.08125556789,4.20208248993324,109245.312,12.5,40.0,10.0,733.333333333333,-900.0,25500.0,4500.0,0.0,-166.666666666667,440.1013167436139,0.009548133984580901,0.5470677795419155,0.07782700153442118,0.4410196753617201,0.7263853476545978,0.7523276814994049,0.49290434305133424,0.10376933537922826
12,26985.1057089656,183.210796561089,109395.072,545.0,542.5,162.5,800.0,-1444.73684210526,28842.1052631579,3750.0,-12500.0,6000.0,26985.727641107333,0.00678922601158458,0.3889939966242334,4.772124478226543,27.04203870995041,44.53982846344773,46.130536622856575,30.223455028768104,6.36283263763539
13,1928.56160379835,5.04249898791989,115209.216,15.0,40.0,10.0,800.0,-900.0,25500.0,4250.0,-500.0,1500.0,1928.5681959529736,0.002614636466506772,0.14980763449183668,0.34104574159478684,1.9325925357037925,3.183093588218011,3.2967755020829395,2.15995636343365,0.45472765545971583
14,23264.7153687048,182.370380063103,115598.448,542.5,542.5,216.666666666667,1000.0,-1716.66666666667,29500.0,3500.0,-12500.0,4000.0,23265.43015167297,0.007838765350564662,0.44912817118074233,4.114231426324164,23.313978082503596,38.399493312358864,39.77090378780025,26.05679903338637,5.485641901765551
