Jain
Rollenlager_Kontur_Verschleiß
17

18.03.24
17:09
Anzahl	X	Y	Gültig
[No]	[mm]	[mm]	[1/0]
208	-229.660373	159.415170	1
209	-229.659873	159.415170	1
210	-229.659374	159.415220	1
211	-229.658874	159.415220	1
212	-229.658375	159.415270	1
213	-229.657876	159.415320	1
214	-229.657377	159.415371	1
215	-229.656877	159.415421	1
216	-229.656378	159.415471	1
217	-229.655878	159.415471	1
218	-229.655379	159.415521	1
219	-229.654879	159.415521	1
220	-229.654378	159.415471	1
221	-229.653877	159.415421	1
222	-229.653377	159.415371	1
223	-229.652876	159.415320	1
224	-229.652375	159.415270	1
225	-229.651874	159.415220	1
226	-229.651373	159.415170	1
227	-229.650872	159.415120	1
228	-229.650372	159.415120	1
229	-229.649872	159.415120	1
230	-229.649372	159.415120	1
231	-229.648873	159.415170	1
232	-229.648374	159.415220	1
233	-229.647875	159.415270	1
234	-229.647376	159.415320	1
235	-229.646877	159.415371	1
236	-229.646377	159.415421	1
237	-229.645877	159.415421	1
238	-229.645377	159.415421	1
239	-229.644877	159.415421	1
240	-229.644377	159.415371	1
241	-229.643876	159.415320	1
242	-229.643374	159.415220	1
243	-229.642873	159.415170	1
244	-229.642372	159.415120	1
245	-229.641871	159.415070	1
246	-229.641371	159.415070	1
247	-229.640871	159.415070	1
248	-229.640372	159.415120	1
249	-229.639873	159.415170	1
250	-229.639375	159.415270	1
251	-229.638876	159.415320	1
252	-229.638377	159.415371	1
253	-229.637877	159.415421	1
254	-229.637378	159.415471	1
255	-229.636878	159.415471	1
256	-229.636378	159.415471	1
257	-229.635877	159.415421	1
258	-229.635377	159.415371	1
259	-229.634876	159.415320	1
260	-229.634375	159.415270	1
261	-229.633874	159.415220	1
262	-229.633373	159.415170	1
263	-229.632873	159.415170	1
264	-229.632373	159.415170	1
265	-229.631873	159.415170	1
266	-229.631373	159.415170	1
267	-229.630874	159.415220	1
268	-229.630374	159.415220	1
269	-229.629875	159.415270	1
270	-229.629375	159.415270	1
271	-229.628875	159.415270	1
272	-229.628375	159.415270	1
273	-229.627875	159.415270	1
274	-229.627374	159.415220	1
275	-229.626874	159.415220	1
276	-229.626373	159.415170	1
277	-229.625871	159.415070	1
278	-229.625370	159.415020	1
279	-229.624869	159.414970	1
280	-229.624369	159.414970	1
281	-229.623868	159.414920	1
282	-229.623369	159.414970	1
283	-229.622870	159.415020	1
284	-229.622371	159.415070	1
285	-229.621873	159.415170	1
286	-229.621375	159.415270	1
287	-229.620877	159.415371	1
288	-229.620378	159.415471	1
289	-229.619880	159.415571	1
290	-229.619381	159.415621	1
291	-229.618881	159.415621	1
292	-229.618381	159.415621	1
293	-229.617880	159.415571	1
294	-229.617378	159.415471	1
295	-229.616877	159.415371	1
296	-229.616375	159.415270	1
297	-229.615873	159.415170	1
298	-229.615371	159.415070	1
299	-229.614870	159.415020	1
300	-229.614371	159.415070	1
301	-229.613872	159.415120	1
302	-229.613374	159.415220	1
303	-229.612876	159.415320	1
304	-229.612378	159.415471	1
305	-229.611881	159.415621	1
306	-229.611384	159.415771	1
307	-229.610886	159.415872	1
308	-229.610387	159.415922	1
309	-229.609886	159.415872	1
310	-229.609384	159.415771	1
311	-229.608881	159.415621	1
312	-229.608377	159.415421	1
313	-229.607873	159.415170	1
314	-229.607368	159.414920	1
315	-229.606864	159.414669	1
316	-229.606359	159.414418	1
317	-229.605856	159.414268	1
318	-229.605353	159.414118	1
319	-229.604853	159.414068	1
320	-229.604353	159.414068	1
321	-229.603853	159.414118	1
322	-229.603354	159.414168	1
323	-229.602856	159.414268	1
324	-229.602357	159.414318	1
325	-229.601859	159.414418	1
326	-229.601360	159.414468	1
327	-229.600860	159.414468	1
328	-229.600360	159.414468	1
329	-229.599859	159.414418	1
330	-229.599356	159.414268	1
331	-229.598854	159.414168	1
332	-229.598351	159.413967	1
333	-229.597848	159.413817	1
334	-229.597345	159.413667	1
335	-229.596841	159.413466	1
336	-229.596340	159.413366	1
337	-229.595837	159.413216	1
338	-229.595335	159.413115	1
339	-229.594834	159.413065	1
340	-229.594333	159.413015	1
341	-229.593834	159.413065	1
342	-229.593335	159.413115	1
343	-229.592837	159.413216	1
344	-229.592340	159.413366	1
345	-229.591842	159.413516	1
346	-229.591346	159.413717	1
347	-229.590849	159.413867	1
348	-229.590352	159.414017	1
349	-229.589853	159.414118	1
350	-229.589355	159.414218	1
351	-229.588856	159.414268	1
352	-229.588356	159.414268	1
353	-229.587856	159.414268	1
354	-229.587355	159.414218	1
355	-229.586854	159.414168	1
356	-229.586353	159.414118	1
357	-229.585853	159.414068	1
358	-229.585353	159.414068	1
359	-229.584853	159.414068	1
360	-229.584353	159.414118	1
361	-229.583855	159.414218	1
362	-229.583357	159.414318	1
363	-229.582860	159.414468	1
364	-229.582362	159.414569	1
365	-229.581865	159.414719	1
366	-229.581366	159.414819	1
367	-229.580867	159.414869	1
368	-229.580367	159.414869	1
369	-229.579867	159.414869	1
370	-229.579365	159.414769	1
371	-229.578864	159.414669	1
372	-229.578362	159.414569	1
373	-229.577859	159.414418	1
374	-229.577357	159.414318	1
375	-229.576855	159.414218	1
376	-229.576354	159.414168	1
377	-229.575854	159.414168	1
378	-229.575355	159.414218	1
379	-229.574857	159.414318	1
380	-229.574359	159.414418	1
381	-229.573862	159.414569	1
382	-229.573365	159.414719	1
383	-229.572866	159.414819	1
384	-229.572368	159.414920	1
385	-229.571869	159.414970	1
386	-229.571370	159.415020	1
387	-229.570869	159.414970	1
388	-229.570367	159.414869	1
