Jain
Rollenlager_Kontur_Verschleiß
2

18.03.24
16:42
Anzahl	X	Y	Gültig
[No]	[mm]	[mm]	[1/0]
0	-229.764667	159.413216	1
1	-229.764166	159.413166	1
2	-229.763665	159.413115	1
3	-229.763164	159.413065	1
4	-229.762663	159.413015	1
5	-229.762162	159.412965	1
6	-229.761662	159.412965	1
7	-229.761162	159.412965	1
8	-229.760662	159.412965	1
9	-229.760163	159.413015	1
10	-229.759664	159.413065	1
11	-229.759165	159.413115	1
12	-229.758666	159.413166	1
13	-229.758166	159.413166	1
14	-229.757665	159.413115	1
15	-229.757164	159.413065	1
16	-229.756663	159.413015	1
17	-229.756161	159.412915	1
18	-229.755660	159.412815	1
19	-229.755158	159.412714	1
20	-229.754656	159.412614	1
21	-229.754155	159.412564	1
22	-229.753654	159.412514	1
23	-229.753153	159.412464	1
24	-229.752653	159.412464	1
25	-229.752154	159.412514	1
26	-229.751655	159.412564	1
27	-229.751156	159.412614	1
28	-229.750657	159.412664	1
29	-229.750158	159.412714	1
30	-229.749659	159.412765	1
31	-229.749160	159.412815	1
32	-229.748660	159.412815	1
33	-229.748159	159.412765	1
34	-229.747658	159.412714	1
35	-229.747157	159.412664	1
36	-229.746656	159.412614	1
37	-229.746155	159.412564	1
38	-229.745655	159.412564	1
39	-229.745155	159.412564	1
40	-229.744656	159.412614	1
41	-229.744157	159.412664	1
42	-229.743659	159.412765	1
43	-229.743160	159.412865	1
44	-229.742662	159.412965	1
45	-229.742164	159.413065	1
46	-229.741665	159.413115	1
47	-229.741166	159.413166	1
48	-229.740665	159.413115	1
49	-229.740164	159.413065	1
50	-229.739663	159.413015	1
51	-229.739161	159.412915	1
52	-229.738660	159.412815	1
53	-229.738158	159.412714	1
54	-229.737656	159.412614	1
55	-229.737156	159.412614	1
56	-229.736656	159.412614	1
57	-229.736156	159.412614	1
58	-229.735657	159.412664	1
59	-229.735159	159.412765	1
60	-229.734660	159.412815	1
61	-229.734160	159.412865	1
62	-229.733661	159.412915	1
63	-229.733161	159.412915	1
64	-229.732661	159.412915	1
65	-229.732160	159.412865	1
66	-229.731659	159.412765	1
67	-229.731157	159.412664	1
68	-229.730655	159.412564	1
69	-229.730154	159.412514	1
70	-229.729653	159.412464	1
71	-229.729154	159.412514	1
72	-229.728655	159.412564	1
73	-229.728156	159.412614	1
74	-229.727659	159.412765	1
75	-229.727161	159.412915	1
76	-229.726664	159.413065	1
77	-229.726166	159.413166	1
78	-229.725668	159.413266	1
79	-229.725170	159.413366	1
80	-229.724670	159.413366	1
81	-229.724169	159.413316	1
82	-229.723668	159.413266	1
83	-229.723165	159.413115	1
84	-229.722663	159.413015	1
85	-229.722161	159.412915	1
86	-229.721660	159.412815	1
87	-229.721158	159.412714	1
88	-229.720658	159.412714	1
89	-229.720158	159.412714	1
90	-229.719660	159.412815	1
91	-229.719161	159.412915	1
92	-229.718664	159.413065	1
93	-229.718166	159.413166	1
94	-229.717669	159.413316	1
95	-229.717171	159.413416	1
96	-229.716671	159.413466	1
97	-229.716171	159.413466	1
98	-229.715671	159.413416	1
99	-229.715169	159.413316	1
100	-229.714666	159.413166	1
101	-229.714163	159.413015	1
102	-229.713660	159.412815	1
103	-229.713157	159.412664	1
104	-229.712655	159.412564	1
105	-229.712154	159.412514	1
106	-229.711654	159.412514	1
107	-229.711154	159.412514	1
108	-229.710656	159.412614	1
109	-229.710158	159.412714	1
110	-229.709660	159.412865	1
111	-229.709162	159.412965	1
112	-229.708664	159.413065	1
113	-229.708165	159.413115	1
114	-229.707665	159.413115	1
115	-229.707164	159.413065	1
116	-229.706663	159.413015	1
117	-229.706162	159.412965	1
118	-229.705660	159.412865	1
119	-229.705159	159.412765	1
120	-229.704658	159.412714	1
121	-229.704157	159.412664	1
122	-229.703657	159.412664	1
123	-229.703158	159.412714	1
124	-229.702660	159.412815	1
125	-229.702160	159.412865	1
126	-229.701663	159.413015	1
127	-229.701165	159.413115	1
128	-229.700666	159.413166	1
129	-229.700167	159.413216	1
130	-229.699668	159.413266	1
131	-229.699168	159.413266	1
132	-229.698667	159.413216	1
133	-229.698165	159.413115	1
134	-229.697663	159.413015	1
135	-229.697161	159.412915	1
136	-229.696660	159.412815	1
137	-229.696158	159.412714	1
138	-229.695658	159.412714	1
139	-229.695157	159.412664	1
140	-229.694658	159.412714	1
141	-229.694160	159.412815	1
142	-229.693661	159.412915	1
143	-229.693163	159.413015	1
144	-229.692665	159.413115	1
145	-229.692167	159.413216	1
146	-229.691668	159.413266	1
147	-229.691169	159.413316	1
148	-229.690668	159.413266	1
149	-229.690167	159.413216	1
150	-229.689665	159.413115	1
151	-229.689162	159.412965	1
152	-229.688660	159.412815	1
153	-229.688157	159.412664	1
154	-229.687655	159.412564	1
155	-229.687153	159.412464	1
156	-229.686653	159.412464	1
157	-229.686153	159.412464	1
158	-229.685655	159.412564	1
159	-229.685157	159.412664	1
160	-229.684659	159.412765	1
161	-229.684160	159.412865	1
162	-229.683663	159.413015	1
163	-229.683165	159.413115	1
164	-229.682665	159.413115	1
165	-229.682166	159.413166	1
166	-229.681665	159.413115	1
