ODB Name,Step,Frame,Part Instance Name,Element Label,Facet,Node Label,X,Y,Z,Section Name,Material Name,Section Point,CNORMF-Magnitude,CNORMF-CNORMF1,CNORMF-CNORMF2,CNORMF-CNORMF3,CSLIP1,CSLIP2,CSTATUS,CSLIP,DELTA_CSLIP,DELTA_CNORMF-Magnitude,Archard-Wear,Fleischer-Wear,Cumulative-Archard-Wear,Cumulative-Fleischer-Wear
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,4111,4,106,-122.384,48.5145,-12.5873,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,3.82687,-0.00370794,3.74454,0.789542,-2.21007e-15,-5.39951e-16,0.0,-2.21007e-15,0.0,15.124235,0.0,0.0,2.6993610807500002e-20,6.478466593800001e-20
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,4108,4,106,-122.384,48.5145,-12.5873,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,3.82687,-0.00370794,3.74454,0.789542,-2.21007e-15,-5.39951e-16,0.0,-2.21007e-15,0.0,15.124235,0.0,0.0,2.6993610807500002e-20,6.478466593800001e-20
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,4099,4,109,-122.384,50.0598,-25.6373,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,5.86275,-0.00641516,5.86043,0.164772,0.0371236,-0.0230065,0.0,0.0371236,-0.000900999999999999,34.178975,2.566271372916664e-08,6.159051294999994e-08,2.7739470222135746e-06,6.657472853312581e-06
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,4456,4,109,-122.384,50.0598,-25.6373,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,5.86275,-0.00641516,5.86043,0.164772,0.0371236,-0.0230065,0.0,0.0371236,-0.000900999999999999,34.178975,2.566271372916664e-08,6.159051294999994e-08,2.7739470222135746e-06,6.657472853312581e-06
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,13097,3,221,-97.1837,50.9442,-11.9989,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,54.996,54.996,0.0747532,0.000876627,-8.36799e-16,-7.8717e-16,0.0,-8.36799e-16,0.0,81.613,0.0,0.0,3.35041767615e-20,8.041002422759999e-20
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,13092,3,221,-97.1837,50.9442,-11.9989,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,54.996,54.996,0.0747532,0.000876627,-8.36799e-16,-7.8717e-16,0.0,-8.36799e-16,0.0,81.613,0.0,0.0,3.35041767615e-20,8.041002422759999e-20
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,4458,4,228,-112.184,50.0598,-25.6373,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,31.3881,-0.0326824,31.3809,0.671781,0.029646,-0.00791125,1.0,0.029646,-0.0045439000000000035,172.76605,6.541930454958339e-07,1.5700633091900014e-06,3.501974634154273e-05,8.404739121970259e-05
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,13073,6,228,-112.184,50.0598,-25.6373,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,31.3881,-0.0326824,31.3809,0.671781,0.029646,-0.00791125,1.0,0.029646,-0.0045439000000000035,172.76605,6.541930454958339e-07,1.5700633091900014e-06,3.501974634154273e-05,8.404739121970259e-05
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,4101,4,228,-112.184,50.0598,-25.6373,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,31.3881,-0.0326824,31.3809,0.671781,0.029646,-0.00791125,1.0,0.029646,-0.0045439000000000035,172.76605,6.541930454958339e-07,1.5700633091900014e-06,3.501974634154273e-05,8.404739121970259e-05
D:/MoVerHu_Projekt/FE_Modell/FE-Abaqus-Model/Job-19.odb,Step-68,Increment      6: Step Time =    1.000,LAGERSITZ_NEU-1,13068,6,228,-112.184,50.0598,-25.6373,ASSEMBLY_LAGERSITZ_NEU-1_SET-GEHAEUSE,ALUMINIUM,,31.3881,-0.0326824,31.3809,0.671781,0.029646,-0.00791125,1.0,0.029646,-0.0045439000000000035,172.76605,6.541930454958339e-07,1.5700633091900014e-06,3.501974634154273e-05,8.404739121970259e-05
