Unnamed: 0,Fy,Fz,Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ,R,Angle_rad,Angle_deg,Pressure Rescue_Hoist_R3,Pressure Hoist_R17,Pressure Hoist_R28,Pressure Hoist_R29,Pressure Hoist_R19,Pressure Hoist_R4,Baseline CSLIP,Baseline CNORMF_Magnitude,Baseline Max Archard Wear,Baseline Max Fleischer Wear,R Change,Load Duration,Omission Max Archard Wear,Omission Max Fleischer Wear
0,27602.667320408,186.572462553036,59.328,555.0,555.0,225.714285714286,900.0,-1533.33333333333,29500.0,3500.0,-13000.0,7000.0,27603.29785523648,0.0067591156735312,0.3872688013340646,4.881334871774722,27.660897606723427,45.55912546989741,47.18623709382232,30.91512085457324,6.508446495699629,0.00570016,644.358,1.5303932071999995e-06,3.67294369728e-06,27603.29785523648,0.01648,1.5303932071999997e-06,3.67294369728e-06
1,1909.94395509468,1.6808329959733,60755.328,5.0,5.0,6.66666666666667,483.333333333333,283.333333333333,24250.0,4550.0,500.0,-1500.0,1909.9446946972755,0.0008800428711891,0.0504227423097162,0.3377523834391513,1.9139301728218576,3.152355578765413,3.264939706578463,2.1390984284479586,0.4503365112522018,-0.000883964,175.411,2.248941978065e-06,5.397460747356e-06,25693.353160539205,16.86,2.248941978065e-06,5.397460747356e-06
2,23605.2155145493,186.572462553036,60915.168,555.0,555.0,226.0,1000.0,-1790.0,30500.0,3250.0,-13000.0,4000.0,23605.95282491478,0.0079037015126898,0.4528487392082935,4.17444905713924,23.655211323789025,38.96152453329957,40.35300755234598,26.43817736188185,5.5659320761856526,0.00475863,589.687,1.7988072434216667e-06,4.317137384212e-06,21696.008130217502,0.044399999999999,1.7988072434216667e-06,4.3171373842119994e-06
3,3212.84332143588,1.6808329959733,73491.984,5.0,5.0,5.0,400.0,300.0,24000.0,4937.5,500.0,-2500.0,3212.8437611086383,0.0005231605386458,0.029974890872196,0.5681555287673105,3.219547996348093,5.302784935161565,5.492170111417334,3.598318348859633,0.7575407050230807,-0.000263598,226.239,1.7074026679700003e-06,4.097766403128e-06,20393.109063806143,3.49356,1.7074026679700003e-06,4.097766403128e-06
4,23755.6144871024,186.572462553036,73520.064,555.0,552.5,220.0,1000.0,-1750.0,30000.0,3375.0,-13000.0,4000.0,23756.3471296328,0.0078536645181644,0.449981830602467,4.201044609887554,23.805919456029475,39.20974969228384,40.610097895579685,26.606615862621176,5.601392813183406,0.00478913,591.723,1.7220581251400004e-06,4.132939500336001e-06,20543.50336852416,0.0078000000000004,1.7220581251400004e-06,4.132939500336001e-06
5,1555.59712762155,1.6808329959733,76066.56,5.0,12.5,5.0,500.0,235.714285714286,25000.0,4500.0,500.0,-1142.85714285714,1555.5980356968755,0.0010805062004855,0.0619084450255397,0.2750901351691538,1.5588440992918715,2.567507928245436,2.6592046399684865,1.7422375227379745,0.3667868468922051,-0.00111022,153.207,1.831084498125e-06,4.3946027955e-06,22200.749093935923,0.7073599999999998,1.831084498125e-06,4.3946027955e-06
6,27315.7371844175,186.572462553036,76094.208,555.0,545.0,215.0,825.0,-1500.0,29500.0,3500.0,-13000.0,6500.0,27316.37434236015,0.0068301126217228,0.3913366268237533,4.830595653718947,27.37337537107404,45.08555943471018,46.69575798594983,30.593772473553337,6.440794204958598,0.00507365,640.011,2.043815414025e-06,4.90515699366e-06,25760.77630666328,0.0076800000000002,2.0438154140249998e-06,4.90515699366e-06
7,1499.07846271282,1.6808329959733,85554.72,5.0,15.0,10.0,575.0,-800.0,25125.0,4250.0,0.0,-1000.0,1499.0794050246277,0.0011212437063217,0.0642425321778406,0.2650954466992374,1.5022075312956789,2.4742241691928832,2.562589318092628,1.6789378290951704,0.3534605955989832,-0.00120008,148.786,2.061958084504166e-06,4.9486994028100006e-06,25817.29493733552,2.6279200000000005,2.0619580845041666e-06,4.9486994028100006e-06
8,27472.4824585305,185.732046055049,86040.0,552.5,545.0,196.785714285714,800.0,-1500.0,29000.0,3500.0,-12500.0,6500.0,27473.110286736697,0.006760554554653,0.3873512431495673,4.858312654598993,27.530438376060967,45.34425144292395,46.96368899445695,30.769313479126964,6.477750206131993,0.00504074,642.212,2.0568650576500003e-06,4.936476138360001e-06,25974.030881712068,0.1347999999999996,2.0568650576500003e-06,4.936476138360001e-06
9,1114.42340785245,1.6808329959733,93661.488,5.0,20.0,10.0,654.545454545455,-850.0,25500.0,4250.0,0.0,-636.363636363636,1114.424675412847,0.0015082523478921,0.0864164939749151,0.1970735547103109,1.1167501433584286,1.839353177296236,1.905044362199672,1.2481325131653025,0.2627647396137478,-0.00147019,118.212,2.0629447643e-06,4.95106743432e-06,26358.68561132385,2.117079999999999,2.0629447643e-06,4.95106743432e-06
10,26758.513371251,183.210796561089,96027.264,545.0,542.5,215.625,800.0,-1500.0,29000.0,3555.55555555556,-13000.0,6500.0,26759.14056982016,0.0068467157045664,0.3922879133976001,4.732055085852921,26.814978819833225,44.16584746796061,45.74319916324491,29.969682210401835,6.30940678113723,0.00481627,632.076,1.9652731252e-06,4.71665550048e-06,25644.715894407316,0.6571599999999994,1.9652731252e-06,4.71665550048e-06
