Unnamed: 0,Fy,Fz,Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ,R,Angle_rad,Angle_deg,Pressure Rescue_Hoist_R3,Pressure Hoist_R17,Pressure Hoist_R28,Pressure Hoist_R29,Pressure Hoist_R19,Pressure Hoist_R4,Baseline CSLIP,Baseline CNORMF_Magnitude,Baseline Max Archard Wear,Baseline Max Fleischer Wear,Baseline Cumulative Max Archard Wear,Baseline Cumulative Max Fleischer Wear,R Change,Load Duration
0,27602.667320408,186.572462553036,59.328,555.0,555.0,225.714285714286,900.0,-1533.33333333333,29500.0,3500.0,-13000.0,7000.0,27603.29785523648,0.0067591156735312,0.3872688013340646,4.881334871774722,27.660897606723427,45.55912546989741,47.18623709382232,30.91512085457324,6.508446495699629,0.0077770700141441,593.921,1.924568833279377e-06,4.618965199870505e-06,1.924568833279377e-06,4.618965199870505e-06,27603.29785523648,0.01648
1,1909.94395509468,1.6808329959733,60755.328,5.0,5.0,6.66666666666667,483.333333333333,283.333333333333,24250.0,4550.0,500.0,-1500.0,1909.9446946972755,0.0008800428711891,0.0504227423097162,0.3377523834391513,1.9139301728218576,3.152355578765413,3.264939706578463,2.1390984284479586,0.4503365112522018,0.0008057216564993,160.257,2.1906823173632625e-06,5.25763756167183e-06,4.11525115064264e-06,9.876602761542334e-06,25693.353160539205,16.86
2,23605.2155145493,186.572462553036,60915.168,555.0,555.0,226.0,1000.0,-1790.0,30500.0,3250.0,-13000.0,4000.0,23605.95282491478,0.0079037015126898,0.4528487392082935,4.17444905713924,23.655211323789025,38.96152453329957,40.35300755234598,26.43817736188185,5.5659320761856526,0.0065504004392174,547.335,1.6937036455087887e-06,4.064888749221093e-06,5.808954796151429e-06,1.3941491510763426e-05,21696.008130217506,0.04439999999999903
3,3212.84332143588,1.6808329959733,73491.984,5.0,5.0,5.0,400.0,300.0,24000.0,4937.5,500.0,-2500.0,3212.8437611086383,0.0005231605386458,0.029974890872196,0.5681555287673105,3.219547996348093,5.302784935161565,5.492170111417334,3.598318348859633,0.7575407050230807,0.000115696069388,208.591,2.026733473111501e-06,4.8641603354676034e-06,7.83568826926293e-06,1.880565184623103e-05,20393.109063806143,3.4935599999999996
4,23755.6144871024,186.572462553036,73520.064,555.0,552.5,220.0,1000.0,-1750.0,30000.0,3375.0,-13000.0,4000.0,23756.3471296328,0.0078536645181644,0.449981830602467,4.201044609887554,23.805919456029475,39.20974969228384,40.610097895579685,26.606615862621176,5.601392813183406,0.0065691942478511,548.791,2.036568065583642e-06,4.887763357400741e-06,9.872256334846571e-06,2.369341520363177e-05,20543.50336852416,0.007800000000000485
5,1555.59712762155,1.6808329959733,76066.56,5.0,12.5,5.0,500.0,235.714285714286,25000.0,4500.0,500.0,-1142.85714285714,1555.5980356968755,0.0010805062004855,0.0619084450255397,0.2750901351691538,1.5588440992918715,2.567507928245436,2.6592046399684865,1.7422375227379745,0.3667868468922051,0.0010611360776573,137.734,1.575591514705114e-06,3.7814196352922735e-06,1.1447847849551685e-05,2.7474834838924043e-05,22200.749093935923,0.7073599999999998
6,27315.7371844175,186.572462553036,76094.208,555.0,545.0,215.0,825.0,-1500.0,29500.0,3500.0,-13000.0,6500.0,27316.37434236015,0.0068301126217228,0.3913366268237533,4.830595653718947,27.37337537107404,45.08555943471018,46.69575798594983,30.593772473553337,6.440794204958598,0.0071217911734619,588.636,1.834282517474832e-06,4.402278041939596e-06,1.3282130367026518e-05,3.187711288086364e-05,25760.776306663276,0.007680000000000291
7,1499.07846271282,1.6808329959733,85554.72,5.0,15.0,10.0,575.0,-800.0,25125.0,4250.0,0.0,-1000.0,1499.0794050246277,0.0011212437063217,0.0642425321778406,0.2650954466992374,1.5022075312956789,2.4742241691928832,2.562589318092628,1.6789378290951704,0.3534605955989832,0.0011565941459198,133.06,1.7937745141620865e-06,4.305058833989008e-06,1.5075904881188604e-05,3.618217171485265e-05,25817.294937335522,2.6279200000000005
8,27472.4824585305,185.732046055049,86040.0,552.5,545.0,196.785714285714,800.0,-1500.0,29000.0,3500.0,-12500.0,6500.0,27473.110286736697,0.006760554554653,0.3873512431495673,4.858312654598993,27.530438376060967,45.34425144292395,46.96368899445695,30.769313479126964,6.477750206131993,0.0071017804999943,590.324,1.7919386189816104e-06,4.300652685555865e-06,1.6867843500170213e-05,4.048282440040852e-05,25974.030881712068,0.13479999999999967
9,1114.42340785245,1.6808329959733,93661.488,5.0,20.0,10.0,654.545454545455,-850.0,25500.0,4250.0,0.0,-636.363636363636,1114.424675412847,0.0015082523478921,0.0864164939749151,0.1970735547103109,1.1167501433584286,1.8393531772962357,1.905044362199672,1.2481325131653025,0.2627647396137478,0.0014447613189814,103.914,1.6363823675783348e-06,3.927317682188003e-06,1.8504225867748547e-05,4.441014208259652e-05,26358.68561132385,2.117079999999999
