Unnamed: 0,Fy,Fz,Time,MT1,MT2,MQF,FROX,FROY,FROZ,MROX,MROY,MROZ,R,Angle_rad,Angle_deg,Pressure Rescue_Hoist_R3,Pressure Hoist_R17,Pressure Hoist_R28,Pressure Hoist_R29,Pressure Hoist_R19,Pressure Hoist_R4,Baseline CSLIP,Baseline CNORMF_Magnitude,R Change,Load Duration,Voelligkeit Max Archard Wear,Voelligkeit Max Fleischer Wear
75.0,8367.23318521684,35.2974929154392,988244.784,105.0,122.5,7.14285714285714,1133.33333333333,-1250.0,28166.6666666667,-3750.0,-2166.66666666667,3500.0,8367.30763679692,0.0042185131871966,0.2417030014466474,1.479664885136741,8.384767682441534,13.810205594609588,14.3034272229885,9.371210939199363,1.9728865135156552,0.000817769,364.82,8282.253430861098,0.4764000000000103,7.139236837104169e-07,1.7134168409050004e-06
76.0,26446.1660520651,176.487464577196,990500.688,525.0,525.0,65.0,1000.0,-1400.0,29000.0,3916.66666666667,-12500.0,5000.0,26446.75493663737,0.0066733621931561,0.3823554888300124,4.676813176255976,26.5019413321172,43.65025631172245,45.209194037141096,29.61981678295452,6.235750901674635,0.0044923,628.655,18079.447299840453,0.6266399999999945,1.5210644521770834e-06,3.6505546852250004e-06
77.0,1441.94022849177,36.1379094134259,1001845.584,107.5,125.0,10.0,300.0,-915.0,26000.0,5000.0,-2500.0,-3900.0,1442.3930015913386,0.025056757158346,1.43564643345744,0.2550710894907051,1.4454028404473291,2.380663501913248,2.4656871984101496,1.6154502334411325,0.3400947859876068,-0.00146046,143.877,25004.361935046032,3.151360000000018,1.9161239951333336e-06,4.5986975883199996e-06
79.0,9034.49275228849,36.1379094134259,1021072.32,107.5,127.5,10.0,1200.0,-1270.0,28800.0,5000.0,-3000.0,4000.0,9034.565027695024,0.0039999718491403,0.2291815051268803,1.5976619008455888,9.053417438125004,14.911511074558833,15.44406504150736,10.118525372022065,2.1302158677941185,0.000817883,378.574,21954.065376178834,0.001319999999994,4.959677411220834e-07,1.190322578693e-06
80.0,18778.0604064111,176.487464577196,1021399.056,525.0,525.0,165.0,600.0,-1450.0,28500.0,3750.0,-12500.0,500.0,18778.88975557333,0.0093983225337432,0.5384842156861881,3.320836876007687,18.818075630710226,30.994477509405083,32.10142313474097,21.03196688138202,4.427782501343582,0.00310502,525.989,9744.324727878307,0.0907600000000093,8.6202479422125e-07,2.068859506131e-06
81.0,4137.63583861327,36.9783259114125,1023283.584,110.0,127.5,10.0,400.0,-1200.0,26500.0,5000.0,-3000.0,-6000.0,4137.801074189544,0.0089368283967821,0.5120425493682857,0.7317238969718493,4.146435416173812,6.829423038403927,7.073331004061209,4.634251347488378,0.9756318626291324,-0.000575237,254.311,14641.088681383786,0.5234800000000137,1.196543557125e-06,2.8717045371000005e-06
82.0,30351.7780414785,176.487464577196,1023433.344,525.0,525.0,149.444444444444,800.0,-1487.5,30000.0,-4535.71428571429,-12500.0,9000.0,30352.291150823017,0.0058146667815383,0.3331558658570642,5.367463627345711,30.4156272216257,50.09632718855998,51.88548173100855,33.99393630652284,7.156618169794282,0.0049457,681.172,26214.490076633472,0.0416000000000025,2.1519761281545836e-06,5.164742707571001e-06
83.0,7751.15397013731,40.3399919033591,1024743.168,120.0,135.0,14.0,-28.5714285714286,250.0,24000.0,4750.0,-2875.0,-9000.0,7751.258941857262,0.0052043383286379,0.2981866213891231,1.370723555260471,7.767433479809336,12.793419849097733,13.250327700851216,8.681249183316316,1.8276314070139608,0.000470345,351.172,22601.03220896576,0.3638399999999738,1.9250441175500006e-06,4.620105882120001e-06
84.0,18364.4866492174,176.487464577196,1025122.032,525.0,525.0,150.0,600.0,-1450.0,28500.0,4437.5,-13500.0,0.0,18365.334674719023,0.0096099626938091,0.5506103036334368,3.247704279744709,18.403657585220017,30.31190661095061,31.39447470419885,20.56879377171649,4.330272372992945,0.00301934,520.217,10614.075732861762,0.1052400000000165,9.254859183562502e-07,2.221166204055e-06
85.0,547.382023388068,40.3399919033591,1027146.24,120.0,140.0,15.0,333.333333333333,-950.0,26000.0,4900.0,-3000.0,-3500.0,548.8664632450943,0.0735632457907732,4.214863511094824,0.0970609026876721,0.5500117818968089,0.9059017584182736,0.9382553926474976,0.614719050355257,0.1294145369168962,-0.00184651,66.4936,17816.46821147393,0.5622799999999956,1.1895190720875e-06,2.85484577301e-06
86.0,24864.6683669178,176.487464577196,1035353.088,525.0,522.5,162.142857142857,1000.0,-1400.0,29000.0,-5450.0,-12500.0,5000.0,24865.29470611509,0.0070978023201772,0.4066741167643174,4.39714960083617,24.917181071404965,41.04006294113759,42.505779474749644,27.84861413862908,5.862866134448227,0.00437143,606.085,24316.42824287,2.2796799999999995,1.742522241701667e-06,4.182053380084e-06
87.0,6969.03573404231,41.1804084013458,1037611.728,122.5,140.0,10.0,14.2857142857143,214.285714285714,24428.5714285714,4861.11111111111,-3166.66666666667,-8500.0,6969.157401608514,0.0059089852147793,0.33855991401206,1.2324176346524849,6.983699929697415,11.50256459008986,11.913370468307352,7.805311686132404,1.6432235128699797,0.000500343,332.533,17896.137304506577,0.6274000000000038,1.5139466407358336e-06,3.633471937766001e-06
88.0,25699.1804610568,176.487464577196,1038021.984,525.0,522.5,160.0,1000.0,-1420.0,29000.0,3500.0,-13000.0,5600.0,25699.78646205288,0.0068673275570759,0.3934688855543383,4.544720145842438,25.753414159773826,42.41738802786277,43.93229474314357,28.783227590335446,6.059626861123252,0.00448285,617.472,18730.629060444367,0.1139600000000145,1.5764173177229167e-06,3.783401562535e-06
89.0,6055.61701656682,42.8612413973191,1041428.016,127.5,142.5,10.0,150.0,-841.666666666667,25000.0,4583.33333333333,-3083.33333333333,-8000.0,6055.76869912877,0.0070778131378035,0.4055288209783908,1.0708950460008673,6.0684052606715815,9.995020429341428,10.351985444675048,6.782335291338825,1.4278600613344896,0.000215179,308.611,19644.01776292411,0.9461199999999694,1.64675731778875e-06,3.952217562693e-06
91.0,6274.61761977349,45.382490891279,1093795.92,135.0,142.5,10.0,100.0,200.0,24500.0,4500.0,-3500.0,-8500.0,6274.781736829692,0.0072325840895891,0.4143965433069249,1.1096250551435978,6.287875312480387,10.35650051467358,10.726375533054776,7.027625349242786,1.479500073524797,0.000238794,314.811,21536.225923176346,0.5391199999999824,6.134212720833333e-09,1.472211053e-08
